node_id,signature,class_dot,method_name,descriptor,external,degree,katz,closeness,harmonic
La/a; <clinit> ()V,La/a; <clinit> ()V,,,()V,False,6.127450980392157e-05,0.0078092352725979185,6.127450980392157e-05,6.127450980392157e-05
Ljava/lang/Object; <init> ()V,Ljava/lang/Object; <init> ()V,,,()V,True,0.06832107843137254,0.014834967393634716,0.0,0.0
La/a; a (F F F I)Landroid/window/BackEvent;,La/a; a (F F F I)Landroid/window/BackEvent;,,,(F F F I)Landroid/window/BackEvent;,False,6.127450980392157e-05,0.0078092352725979185,6.127450980392157e-05,6.127450980392157e-05
Landroid/window/BackEvent; <init> (F F F I)V,Landroid/window/BackEvent; <init> (F F F I)V,,,(F F F I)V,True,6.127450980392157e-05,0.007815527404867692,0.0,0.0
La/a; b (Landroid/window/BackEvent;)F,La/a; b (Landroid/window/BackEvent;)F,,,(Landroid/window/BackEvent;)F,False,0.0001838235294117647,0.007815537544382542,0.00047534165181224003,0.0005208333333333333
Le3/g; k (Ljava/lang/String; Ljava/lang/Object;)V,Le3/g; k (Ljava/lang/String; Ljava/lang/Object;)V,,,(Ljava/lang/String; Ljava/lang/Object;)V,False,0.06844362745098038,0.014776637122126724,0.0007064590542099192,0.0007659313725490196
Landroid/window/BackEvent; getProgress ()F,Landroid/window/BackEvent; getProgress ()F,,,()F,True,6.127450980392157e-05,0.007815532482794825,0.0,0.0
La/a; c (Landroid/window/BackEvent;)I,La/a; c (Landroid/window/BackEvent;)I,,,(Landroid/window/BackEvent;)I,False,0.0001838235294117647,0.007815537544382542,0.00047534165181224003,0.0005208333333333333
Landroid/window/BackEvent; getSwipeEdge ()I,Landroid/window/BackEvent; getSwipeEdge ()I,,,()I,True,6.127450980392157e-05,0.007815532482794825,0.0,0.0
La/a; d (Landroid/window/BackEvent;)F,La/a; d (Landroid/window/BackEvent;)F,,,(Landroid/window/BackEvent;)F,False,0.0001838235294117647,0.007815537544382542,0.00047534165181224003,0.0005208333333333333
Landroid/window/BackEvent; getTouchX ()F,Landroid/window/BackEvent; getTouchX ()F,,,()F,True,6.127450980392157e-05,0.007815532482794825,0.0,0.0
La/a; e (Landroid/window/BackEvent;)F,La/a; e (Landroid/window/BackEvent;)F,,,(Landroid/window/BackEvent;)F,False,0.0001838235294117647,0.007815537544382542,0.00047534165181224003,0.0005208333333333333
Landroid/window/BackEvent; getTouchY ()F,Landroid/window/BackEvent; getTouchY ()F,,,()F,True,6.127450980392157e-05,0.007815532482794825,0.0,0.0
La/b0; <init> (Ljava/lang/Runnable;)V,La/b0; <init> (Ljava/lang/Runnable;)V,,,(Ljava/lang/Runnable;)V,False,0.0004901960784313725,0.007821839844761142,0.000627812600450016,0.0007914624183006539
La/s; <init> (La/b0; I)V,La/s; <init> (La/b0; I)V,,,(La/b0; I)V,False,0.00012254901960784314,0.007815537560721956,8.169934640522875e-05,9.191176470588235e-05
La/t; <init> (I Ljava/lang/Object;)V,La/t; <init> (I Ljava/lang/Object;)V,,,(I Ljava/lang/Object;)V,False,0.0001838235294117647,0.007821834775003717,8.169934640522875e-05,9.191176470588235e-05
La/v; a (Ld3/a;)Landroid/window/OnBackInvokedCallback;,La/v; a (Ld3/a;)Landroid/window/OnBackInvokedCallback;,,,(Ld3/a;)Landroid/window/OnBackInvokedCallback;,False,0.0001838235294117647,0.007815537560721956,0.0005059523809523809,0.0005514705882352941
La/x; a (Ld3/l; Ld3/l; Ld3/a; Ld3/a;)Landroid/window/OnBackInvokedCallback;,La/x; a (Ld3/l; Ld3/l; Ld3/a; Ld3/a;)Landroid/window/OnBackInvokedCallback;,,,(Ld3/l; Ld3/l; Ld3/a; Ld3/a;)Landroid/window/OnBackInvokedCallback;,False,0.0001838235294117647,0.007815537560721956,0.0005059523809523809,0.0005514705882352941
Lu2/h; <init> ()V,Lu2/h; <init> ()V,,,()V,False,0.00030637254901960784,0.007834449490766641,6.127450980392157e-05,6.127450980392157e-05
La/b0; a ()V,La/b0; a ()V,,,()V,False,0.0007352941176470588,0.00783444439241524,0.0066411723251668525,0.0075655354653516565
Ljava/util/ListIterator; previous ()Ljava/lang/Object;,Ljava/util/ListIterator; previous ()Ljava/lang/Object;,,,()Ljava/lang/Object;,True,0.0003676470588235294,0.007847038816893906,0.0,0.0
Ljava/util/AbstractList; listIterator (I)Ljava/util/ListIterator;,Ljava/util/AbstractList; listIterator (I)Ljava/util/ListIterator;,,,(I)Ljava/util/ListIterator;,True,0.0001838235294117647,0.007828142120630618,0.0,0.0
Ljava/lang/Object; getClass ()Ljava/lang/Class;,Ljava/lang/Object; getClass ()Ljava/lang/Class;,,,()Ljava/lang/Class;,True,0.025735294117647058,0.010455260520487664,0.0,0.0
Ljava/lang/Runnable; run ()V,Ljava/lang/Runnable; run ()V,,,()V,True,0.0012254901960784314,0.007935164218245526,0.0,0.0
Ljava/util/ListIterator; hasPrevious ()Z,Ljava/util/ListIterator; hasPrevious ()Z,,,()Z,True,0.0003676470588235294,0.007847038816893906,0.0,0.0
Lv0/n0; N ()Z,Lv0/n0; N ()Z,,,()Z,False,0.0001838235294117647,0.00782184999653055,0.006587410375369042,0.007241364130150909
Lv0/n0; y (Z)Z,Lv0/n0; y (Z)Z,,,(Z)Z,False,0.0014705882352941176,0.007872329232563582,0.007664635333041405,0.008898433742183742
La/b0; b (Z)V,La/b0; b (Z)V,,,(Z)V,False,0.00030637254901960784,0.0078281319606915,0.0004173603403625601,0.0004850898692810456
La/v; c (Ljava/lang/Object; Ljava/lang/Object;)V,La/v; c (Ljava/lang/Object; Ljava/lang/Object;)V,,,(Ljava/lang/Object; Ljava/lang/Object;)V,False,0.0001838235294117647,0.00781554263047938,0.00047534165181224003,0.0005208333333333333
La/v; b (Ljava/lang/Object; I Ljava/lang/Object;)V,La/v; b (Ljava/lang/Object; I Ljava/lang/Object;)V,,,(Ljava/lang/Object; I Ljava/lang/Object;)V,False,0.0001838235294117647,0.00781554263047938,0.00047534165181224003,0.0005208333333333333
La/b0; c ()V,La/b0; c ()V,,,()V,False,0.0004901960784313725,0.007828121813006945,0.0004583651642475172,0.0006341911764705882
Ljava/util/Collection; isEmpty ()Z,Ljava/util/Collection; isEmpty ()Z,,,()Z,True,0.0020220588235294115,0.00801704825842898,0.0,0.0
Ljava/util/Iterator; hasNext ()Z,Ljava/util/Iterator; hasNext ()Z,,,()Z,True,0.017463235294117647,0.009605071527083427,0.0,0.0
Ljava/util/Iterator; next ()Ljava/lang/Object;,Ljava/util/Iterator; next ()Ljava/lang/Object;,,,()Ljava/lang/Object;,True,0.017830882352941176,0.009642895383087942,0.0,0.0
Ljava/lang/Iterable; iterator ()Ljava/util/Iterator;,Ljava/lang/Iterable; iterator ()Ljava/util/Iterator;,,,()Ljava/util/Iterator;,True,0.0030637254901960784,0.00812414631662332,0.0,0.0
La/b; <init> (Landroid/window/BackEvent;)V,La/b; <init> (Landroid/window/BackEvent;)V,,,(Landroid/window/BackEvent;)V,False,0.0004901960784313725,0.007821819537137467,0.000784313725490196,0.0008884803921568628
La/b; toString ()Ljava/lang/String;,La/b; toString ()Ljava/lang/String;,,,()Ljava/lang/String;,False,0.0003676470588235294,0.0078092352725979185,0.0003676470588235294,0.0003676470588235294
Ljava/lang/StringBuilder; append (C)Ljava/lang/StringBuilder;,Ljava/lang/StringBuilder; append (C)Ljava/lang/StringBuilder;,,,(C)Ljava/lang/StringBuilder;,True,0.0074142156862745095,0.008571197555283986,0.0,0.0
Ljava/lang/StringBuilder; append (Ljava/lang/String;)Ljava/lang/StringBuilder;,Ljava/lang/StringBuilder; append (Ljava/lang/String;)Ljava/lang/StringBuilder;,,,(Ljava/lang/String;)Ljava/lang/StringBuilder;,True,0.034436274509803924,0.01135600277377937,0.0,0.0
Ljava/lang/StringBuilder; append (F)Ljava/lang/StringBuilder;,Ljava/lang/StringBuilder; append (F)Ljava/lang/StringBuilder;,,,(F)Ljava/lang/StringBuilder;,True,0.0007352941176470588,0.007884776470682794,0.0,0.0
Ljava/lang/StringBuilder; append (I)Ljava/lang/StringBuilder;,Ljava/lang/StringBuilder; append (I)Ljava/lang/StringBuilder;,,,(I)Ljava/lang/StringBuilder;,True,0.010416666666666666,0.00888034465315839,0.0,0.0
Ljava/lang/StringBuilder; toString ()Ljava/lang/String;,Ljava/lang/StringBuilder; toString ()Ljava/lang/String;,,,()Ljava/lang/String;,True,0.04185049019607843,0.012118863792379806,0.0,0.0
Ljava/lang/StringBuilder; <init> (Ljava/lang/String;)V,Ljava/lang/StringBuilder; <init> (Ljava/lang/String;)V,,,(Ljava/lang/String;)V,True,0.033884803921568625,0.011299896507724626,0.0,0.0
La/d; <init> (I Ljava/lang/Object;)V,La/d; <init> (I Ljava/lang/Object;)V,,,(I Ljava/lang/Object;)V,False,0.000980392156862745,0.007903693343854436,6.127450980392157e-05,6.127450980392157e-05
La/d; run ()V,La/d; run ()V,,,()V,False,0.0017769607843137255,0.0078092352725979185,0.004207119132197403,0.0058698548863990105
Landroid/app/Activity; recreate ()V,Landroid/app/Activity; recreate ()V,,,()V,True,0.00012254901960784314,0.007821839816167166,0.0,0.0
Landroid/app/Activity; invalidateOptionsMenu ()V,Landroid/app/Activity; invalidateOptionsMenu ()V,,,()V,True,0.00012254901960784314,0.007821829750179685,0.0,0.0
Lv0/u0; a (I Ljava/util/ArrayList;)V,Lv0/u0; a (I Ljava/util/ArrayList;)V,,,(I Ljava/util/ArrayList;)V,False,0.0003676470588235294,0.007821824623234308,0.00024509803921568627,0.00024509803921568627
Landroid/view/inputmethod/InputMethodManager; showSoftInput (Landroid/view/View; I)Z,Landroid/view/inputmethod/InputMethodManager; showSoftInput (Landroid/view/View; I)Z,,,(Landroid/view/View; I)Z,True,0.00024509803921568627,0.007834439330827524,0.0,0.0
Landroid/app/Activity; finishAffinity ()V,Landroid/app/Activity; finishAffinity ()V,,,()V,True,0.00012254901960784314,0.007821824610979746,0.0,0.0
Landroid/view/View; getContext ()Landroid/content/Context;,Landroid/view/View; getContext ()Landroid/content/Context;,,,()Landroid/content/Context;,True,0.015931372549019607,0.009446895078303047,0.0,0.0
Lr1/d; a (I)V,Lr1/d; a (I)V,,,(I)V,False,0.0003676470588235294,0.007834434236560977,0.00013786764705882353,0.00015318627450980392
Ljava/lang/reflect/Method; invoke (Ljava/lang/Object; [Ljava/lang/Object;)Ljava/lang/Object;,Ljava/lang/reflect/Method; invoke (Ljava/lang/Object; [Ljava/lang/Object;)Ljava/lang/Object;,,,(Ljava/lang/Object; [Ljava/lang/Object;)Ljava/lang/Object;,True,0.003676470588235294,0.008187204649401987,0.0,0.0
Li2/k; t (Z)V,Li2/k; t (Z)V,,,(Z)V,False,0.0003676470588235294,0.007834419010949289,0.00012254901960784314,0.00012254901960784314
Lq0/e; f ()Z,Lq0/e; f ()Z,,,()Z,False,0.0009191176470588235,0.007828116747334374,0.0007352941176470588,0.0007352941176470588
Landroid/app/Application; registerActivityLifecycleCallbacks (Landroid/app/Application$ActivityLifecycleCallbacks;)V,Landroid/app/Application; registerActivityLifecycleCallbacks (Landroid/app/Application$ActivityLifecycleCallbacks;)V,,,(Landroid/app/Application$ActivityLifecycleCallbacks;)V,True,0.00012254901960784314,0.007821819537137467,0.0,0.0
Lcom/google/android/material/sidesheet/SideSheetBehavior; s (I)V,Lcom/google/android/material/sidesheet/SideSheetBehavior; s (I)V,,,(I)V,False,0.0007352941176470588,0.00783441394527672,0.0014096013992451442,0.0016911764705882348
Ld1/f; b (Landroid/os/Bundle;)V,Ld1/f; b (Landroid/os/Bundle;)V,,,(Landroid/os/Bundle;)V,False,0.000857843137254902,0.007840721384855255,0.002147450980392157,0.002651921879863059
Landroid/app/Activity; isFinishing ()Z,Landroid/app/Activity; isFinishing ()Z,,,()Z,True,6.127450980392157e-05,0.007815527404867692,0.0,0.0
La/q; a (La/q;)V,La/q; a (La/q;)V,,,(La/q;)V,False,0.0001838235294117647,0.007815527404867692,0.00047534165181224003,0.0005208333333333333
Lj/j; <init> (Ljava/lang/Object; Ljava/lang/Object; I)V,Lj/j; <init> (Ljava/lang/Object; Ljava/lang/Object; I)V,,,(Ljava/lang/Object; Ljava/lang/Object; I)V,False,0.00024509803921568627,0.007828111669407242,6.127450980392157e-05,6.127450980392157e-05
Li2/d; t (Z)V,Li2/d; t (Z)V,,,(Z)V,False,0.0007352941176470588,0.007834403801677017,0.0004963235294117648,0.0005208333333333333
Landroid/os/Handler; post (Ljava/lang/Runnable;)Z,Landroid/os/Handler; post (Ljava/lang/Runnable;)Z,,,(Ljava/lang/Runnable;)Z,True,0.0010416666666666667,0.007916353769131253,0.0,0.0
Landroid/view/View; requestLayout ()V,Landroid/view/View; requestLayout ()V,,,()V,True,0.004473039215686274,0.008269038045114299,0.0,0.0
Landroid/widget/AutoCompleteTextView; isPopupShowing ()Z,Landroid/widget/AutoCompleteTextView; isPopupShowing ()Z,,,()Z,True,0.0001838235294117647,0.007828111669407242,0.0,0.0
Ljava/lang/reflect/Field; get (Ljava/lang/Object;)Ljava/lang/Object;,Ljava/lang/reflect/Field; get (Ljava/lang/Object;)Ljava/lang/Object;,,,(Ljava/lang/Object;)Ljava/lang/Object;,True,0.000980392156862745,0.007910016025384077,0.0,0.0
Landroid/app/Activity; getApplication ()Landroid/app/Application;,Landroid/app/Activity; getApplication ()Landroid/app/Application;,,,()Landroid/app/Application;,True,0.00024509803921568627,0.007834424105215836,0.0,0.0
Landroidx/lifecycle/v; e (Landroidx/lifecycle/k;)V,Landroidx/lifecycle/v; e (Landroidx/lifecycle/k;)V,,,(Landroidx/lifecycle/k;)V,False,0.001715686274509804,0.007960439355200414,0.0014948982310315432,0.0017044526143790847
Landroid/content/Context; getSystemService (Ljava/lang/String;)Ljava/lang/Object;,Landroid/content/Context; getSystemService (Ljava/lang/String;)Ljava/lang/Object;,,,(Ljava/lang/String;)Ljava/lang/Object;,True,0.0017769607843137255,0.007991965951989777,0.0,0.0
Ljava/lang/Integer; valueOf (I)Ljava/lang/Integer;,Ljava/lang/Integer; valueOf (I)Ljava/lang/Integer;,,,(I)Ljava/lang/Integer;,True,0.006924019607843137,0.008520916109233011,0.0,0.0
Lc1/p0; j0 ()V,Lc1/p0; j0 ()V,,,()V,False,0.0012254901960784314,0.007928897373490066,8.169934640522875e-05,9.191176470588235e-05
Lz/g; <init> (Landroid/app/Activity;)V,Lz/g; <init> (Landroid/app/Activity;)V,,,(Landroid/app/Activity;)V,False,0.0001838235294117647,0.007815527404867692,0.00012254901960784314,0.00012254901960784314
La/h; a (I Landroid/view/View;)V,La/h; a (I Landroid/view/View;)V,,,(I Landroid/view/View;)V,False,0.0007965686274509804,0.007834408887773855,0.0005514705882352941,0.0005514705882352941
Landroid/view/View; setVisibility (I)V,Landroid/view/View; setVisibility (I)V,,,(I)V,True,0.0047181372549019605,0.00829436389189799,0.0,0.0
Landroid/util/Log; isLoggable (Ljava/lang/String; I)Z,Landroid/util/Log; isLoggable (Ljava/lang/String; I)Z,,,(Ljava/lang/String; I)Z,True,0.003860294117647059,0.008206157901373723,0.0,0.0
Ljava/lang/StringBuilder; append (Ljava/lang/Object;)Ljava/lang/StringBuilder;,Ljava/lang/StringBuilder; append (Ljava/lang/Object;)Ljava/lang/StringBuilder;,,,(Ljava/lang/Object;)Ljava/lang/StringBuilder;,True,0.020098039215686272,0.009876237716764219,0.0,0.0
Landroid/util/Log; v (Ljava/lang/String; Ljava/lang/String;)I,Landroid/util/Log; v (Ljava/lang/String; Ljava/lang/String;)I,,,(Ljava/lang/String; Ljava/lang/String;)I,True,0.002573529411764706,0.008073845187931304,0.0,0.0
Landroid/view/View; getParent ()Landroid/view/ViewParent;,Landroid/view/View; getParent ()Landroid/view/ViewParent;,,,()Landroid/view/ViewParent;,True,0.005269607843137255,0.008351216380404437,0.0,0.0
Landroid/view/ViewGroup; removeView (Landroid/view/View;)V,Landroid/view/ViewGroup; removeView (Landroid/view/View;)V,,,(Landroid/view/View;)V,True,0.0011642156862745098,0.007929039535025485,0.0,0.0
La/h; c (Ljava/lang/String; I)Ljava/lang/String;,La/h; c (Ljava/lang/String; I)Ljava/lang/String;,,,(Ljava/lang/String; I)Ljava/lang/String;,False,0.0026348039215686276,0.00806139262679373,0.0001838235294117647,0.0001838235294117647
La/h; d (Ljava/lang/String; J)Ljava/lang/String;,La/h; d (Ljava/lang/String; J)Ljava/lang/String;,,,(Ljava/lang/String; J)Ljava/lang/String;,False,0.0017769607843137255,0.007973089596028991,0.0001838235294117647,0.0001838235294117647
Ljava/lang/StringBuilder; append (J)Ljava/lang/StringBuilder;,Ljava/lang/StringBuilder; append (J)Ljava/lang/StringBuilder;,,,(J)Ljava/lang/StringBuilder;,True,0.002144607843137255,0.008029845718295842,0.0,0.0
La/h; e (Ljava/lang/String; Ljava/lang/String;)Ljava/lang/String;,La/h; e (Ljava/lang/String; Ljava/lang/String;)Ljava/lang/String;,,,(Ljava/lang/String; Ljava/lang/String;)Ljava/lang/String;,False,0.0012254901960784314,0.007916308129059876,0.0001838235294117647,0.0001838235294117647
La/h; f (Ljava/lang/String; Ljava/lang/String; Ljava/lang/String;)Ljava/lang/String;,La/h; f (Ljava/lang/String; Ljava/lang/String; Ljava/lang/String;)Ljava/lang/String;,,,(Ljava/lang/String; Ljava/lang/String; Ljava/lang/String;)Ljava/lang/String;,False,0.0012254901960784314,0.007916592399027615,0.0001838235294117647,0.0001838235294117647
La/h; g (Ljava/lang/StringBuilder; Ljava/lang/String; Ljava/lang/String;)Ljava/lang/String;,La/h; g (Ljava/lang/StringBuilder; Ljava/lang/String; Ljava/lang/String;)Ljava/lang/String;,,,(Ljava/lang/StringBuilder; Ljava/lang/String; Ljava/lang/String;)Ljava/lang/String;,False,0.001409313725490196,0.007941456301497056,0.00012254901960784314,0.00012254901960784314
La/h; h ()Ljava/util/Iterator;,La/h; h ()Ljava/util/Iterator;,,,()Ljava/util/Iterator;,False,0.0003676470588235294,0.007815527404867692,0.00030024509803921567,0.0003574346405228758
Ljava/util/List; iterator ()Ljava/util/Iterator;,Ljava/util/List; iterator ()Ljava/util/Iterator;,,,()Ljava/util/Iterator;,True,0.0029411764705882353,0.00811169412312259,0.0,0.0
Ljava/lang/Throwable; getMessage ()Ljava/lang/String;,Ljava/lang/Throwable; getMessage ()Ljava/lang/String;,,,()Ljava/lang/String;,True,0.002267156862745098,0.008042313125153699,0.0,0.0
Ljava/util/ServiceConfigurationError; <init> (Ljava/lang/String; Ljava/lang/Throwable;)V,Ljava/util/ServiceConfigurationError; <init> (Ljava/lang/String; Ljava/lang/Throwable;)V,,,(Ljava/lang/String; Ljava/lang/Throwable;)V,True,0.00012254901960784314,0.007821829676652316,0.0,0.0
Ln3/b; <init> ()V,Ln3/b; <init> ()V,,,()V,False,0.00012254901960784314,0.007815532474625119,8.169934640522875e-05,9.191176470588235e-05
Ljava/util/Arrays; asList ([Ljava/lang/Object;)Ljava/util/List;,Ljava/util/Arrays; asList ([Ljava/lang/Object;)Ljava/util/List;,,,([Ljava/lang/Object;)Ljava/util/List;,True,0.0004901960784313725,0.007859658614668816,0.0,0.0
La/h; i (Landroid/os/Parcelable;)V,La/h; i (Landroid/os/Parcelable;)V,,,(Landroid/os/Parcelable;)V,False,0.00030637254901960784,0.007834424080706713,6.127450980392157e-05,6.127450980392157e-05
Ljava/lang/ClassCastException; <init> ()V,Ljava/lang/ClassCastException; <init> ()V,,,()V,True,0.00030637254901960784,0.007841056295209285,0.0,0.0
La/h; j (Landroid/view/View;)V,La/h; j (Landroid/view/View;)V,,,(Landroid/view/View;)V,False,0.00012254901960784314,0.007815527404867692,6.127450980392157e-05,6.127450980392157e-05
La/h; k (Ljava/lang/Object;)V,La/h; k (Ljava/lang/Object;)V,,,(Ljava/lang/Object;)V,False,0.0033700980392156864,0.008149492646679399,6.127450980392157e-05,6.127450980392157e-05
La/h; l (Ljava/lang/String; I)V,La/h; l (Ljava/lang/String; I)V,,,(Ljava/lang/String; I)V,False,0.0009191176470588235,0.007834429232161214,0.0007064590542099192,0.0007659313725490196
Ljava/lang/Class; getName ()Ljava/lang/String;,Ljava/lang/Class; getName ()Ljava/lang/String;,,,()Ljava/lang/String;,True,0.004840686274509804,0.00831504954619654,0.0,0.0
Le3/g; A (Ljava/lang/String; Ljava/lang/RuntimeException;)V,Le3/g; A (Ljava/lang/String; Ljava/lang/RuntimeException;)V,,,(Ljava/lang/String; Ljava/lang/RuntimeException;)V,False,0.0007965686274509804,0.007867709098526033,0.00030637254901960784,0.00030637254901960784
Ljava/lang/Thread; getStackTrace ()[Ljava/lang/StackTraceElement;,Ljava/lang/Thread; getStackTrace ()[Ljava/lang/StackTraceElement;,,,()[Ljava/lang/StackTraceElement;,True,0.00012254901960784314,0.007827453671123362,0.0,0.0
Ljava/lang/StackTraceElement; getMethodName ()Ljava/lang/String;,Ljava/lang/StackTraceElement; getMethodName ()Ljava/lang/String;,,,()Ljava/lang/String;,True,0.00012254901960784314,0.007827453671123362,0.0,0.0
Ljava/lang/StackTraceElement; getClassName ()Ljava/lang/String;,Ljava/lang/StackTraceElement; getClassName ()Ljava/lang/String;,,,()Ljava/lang/String;,True,0.0001838235294117647,0.007833792909473154,0.0,0.0
Ljava/lang/Thread; currentThread ()Ljava/lang/Thread;,Ljava/lang/Thread; currentThread ()Ljava/lang/Thread;,,,()Ljava/lang/Thread;,True,0.0037377450980392154,0.008199258235557644,0.0,0.0
Ljava/lang/NullPointerException; <init> (Ljava/lang/String;)V,Ljava/lang/NullPointerException; <init> (Ljava/lang/String;)V,,,(Ljava/lang/String;)V,True,0.0020833333333333333,0.008030355144900102,0.0,0.0
Ljava/lang/String; equals (Ljava/lang/Object;)Z,Ljava/lang/String; equals (Ljava/lang/Object;)Z,,,(Ljava/lang/Object;)Z,True,0.00392156862745098,0.00821805958634091,0.0,0.0
La/h; m (Lw2/h;)V,La/h; m (Lw2/h;)V,,,(Lw2/h;)V,False,0.00012254901960784314,0.007815527404867692,6.127450980392157e-05,6.127450980392157e-05
La/h; n (Ljava/lang/String; Ljava/lang/String;)Ljava/lang/String;,La/h; n (Ljava/lang/String; Ljava/lang/String;)Ljava/lang/String;,,,(Ljava/lang/String; Ljava/lang/String;)Ljava/lang/String;,False,0.0010416666666666667,0.007897421519208336,0.0001838235294117647,0.0001838235294117647
Ljava/lang/StringBuilder; <init> ()V,Ljava/lang/StringBuilder; <init> ()V,,,()V,True,0.01011029411764706,0.008848518184983051,0.0,0.0
La/h; o ()Ljava/util/Iterator;,La/h; o ()Ljava/util/Iterator;,,,()Ljava/util/Iterator;,False,0.0003676470588235294,0.007815527404867692,0.00031512605042016803,0.0003370098039215686
Ln3/a; <init> ()V,Ln3/a; <init> ()V,,,()V,False,0.00012254901960784314,0.007815532474625119,6.127450980392157e-05,6.127450980392157e-05
La/h; p (Ljava/lang/Object;)V,La/h; p (Ljava/lang/Object;)V,,,(Ljava/lang/Object;)V,False,0.0007352941176470588,0.007878453821831985,6.127450980392157e-05,6.127450980392157e-05
La/i; <init> ()V,La/i; <init> ()V,,,()V,False,0.00030637254901960784,0.007815532478709971,0.00024509803921568627,0.00024509803921568627
Ljava/util/ArrayList; <init> ()V,Ljava/util/ArrayList; <init> ()V,,,()V,True,0.00980392156862745,0.00881742809793889,0.0,0.0
Ljava/util/HashMap; <init> ()V,Ljava/util/HashMap; <init> ()V,,,()V,True,0.002512254901960784,0.008067623770834824,0.0,0.0
Landroid/os/Bundle; <init> ()V,Landroid/os/Bundle; <init> ()V,,,()V,True,0.001286764705882353,0.007941466477775588,0.0,0.0
La/i; a (I I Landroid/content/Intent;)Z,La/i; a (I I Landroid/content/Intent;)Z,,,(I I Landroid/content/Intent;)Z,False,0.0006740196078431372,0.007821829684822024,0.001044891640866873,0.0012612336601307188
Lv0/e0; b (Ljava/lang/Object;)V,Lv0/e0; b (Ljava/lang/Object;)V,,,(Ljava/lang/Object;)V,False,0.0011029411764705882,0.007821834762749155,0.0010620915032679738,0.0012561274509803922
Ljava/util/ArrayList; remove (Ljava/lang/Object;)Z,Ljava/util/ArrayList; remove (Ljava/lang/Object;)Z,,,(Ljava/lang/Object;)Z,True,0.0023284313725490196,0.008048686541021265,0.0,0.0
Ljava/util/HashMap; get (Ljava/lang/Object;)Ljava/lang/Object;,Ljava/util/HashMap; get (Ljava/lang/Object;)Ljava/lang/Object;,,,(Ljava/lang/Object;)Ljava/lang/Object;,True,0.0024509803921568627,0.0080612861373787,0.0,0.0
Ljava/util/HashMap; remove (Ljava/lang/Object;)Ljava/lang/Object;,Ljava/util/HashMap; remove (Ljava/lang/Object;)Ljava/lang/Object;,,,(Ljava/lang/Object;)Ljava/lang/Object;,True,0.0006127450980392157,0.007872222604263523,0.0,0.0
Lv3/a; y0 (I Landroid/content/Intent;)Ljava/lang/Object;,Lv3/a; y0 (I Landroid/content/Intent;)Ljava/lang/Object;,,,(I Landroid/content/Intent;)Ljava/lang/Object;,False,0.00012254901960784314,0.007821834762749155,0.0,0.0
Landroid/os/Bundle; putParcelable (Ljava/lang/String; Landroid/os/Parcelable;)V,Landroid/os/Bundle; putParcelable (Ljava/lang/String; Landroid/os/Parcelable;)V,,,(Ljava/lang/String; Landroid/os/Parcelable;)V,True,0.0005514705882352941,0.007865905041509552,0.0,0.0
Lc/b; <init> (I Landroid/content/Intent;)V,Lc/b; <init> (I Landroid/content/Intent;)V,,,(I Landroid/content/Intent;)V,False,0.00024509803921568627,0.007828121817091797,6.127450980392157e-05,6.127450980392157e-05
Ljava/util/ArrayList; contains (Ljava/lang/Object;)Z,Ljava/util/ArrayList; contains (Ljava/lang/Object;)Z,,,(Ljava/lang/Object;)Z,True,0.0017769607843137255,0.007992057309744756,0.0,0.0
La/i; b (Ljava/lang/String; Lv3/a; Lv0/e0;)Lc/d;,La/i; b (Ljava/lang/String; Lv3/a; Lv0/e0;)Lc/d;,,,(Ljava/lang/String; Lv3/a; Lv0/e0;)Lc/d;,False,0.0009191176470588235,0.007815537548467396,0.0012716351972887922,0.0015676062091503264
Ljava/util/HashMap; put (Ljava/lang/Object; Ljava/lang/Object;)Ljava/lang/Object;,Ljava/util/HashMap; put (Ljava/lang/Object; Ljava/lang/Object;)Ljava/lang/Object;,,,(Ljava/lang/Object; Ljava/lang/Object;)Ljava/lang/Object;,True,0.002144607843137255,0.008029713724869245,0.0,0.0
Ljava/util/Random; nextInt (I)I,Ljava/util/Random; nextInt (I)I,,,(I)I,True,0.00012254901960784314,0.007821829701161439,0.0,0.0
Landroid/os/Bundle; remove (Ljava/lang/String;)V,Landroid/os/Bundle; remove (Ljava/lang/String;)V,,,(Ljava/lang/String;)V,True,0.00024509803921568627,0.007834439318572962,0.0,0.0
Ljava/util/HashMap; containsKey (Ljava/lang/Object;)Z,Ljava/util/HashMap; containsKey (Ljava/lang/Object;)Z,,,(Ljava/lang/Object;)Z,True,0.0010416666666666667,0.007916333592222902,0.0,0.0
Landroid/os/Bundle; getParcelable (Ljava/lang/String;)Landroid/os/Parcelable;,Landroid/os/Bundle; getParcelable (Ljava/lang/String;)Landroid/os/Parcelable;,,,(Ljava/lang/String;)Landroid/os/Parcelable;,True,0.0007352941176470588,0.007884796692524539,0.0,0.0
Lc/e; <init> (Lv0/e0; Lv3/a;)V,Lc/e; <init> (Lv0/e0; Lv3/a;)V,,,(Lv0/e0; Lv3/a;)V,False,0.00012254901960784314,0.007815532482794825,6.127450980392157e-05,6.127450980392157e-05
Lg3/a; a ()Ljava/util/Random;,Lg3/a; a ()Ljava/util/Random;,,,()Ljava/util/Random;,False,0.00012254901960784314,0.007821829688906877,0.0,0.0
